b'Name of the Restaurants',Country code,City,Day of week,Start time hour,Start time minute,End time hour,End time minute
b'1 Abercrombie Lane',AU,Sydney,0,7,30,15,30
b'1 Abercrombie Lane',AU,Sydney,1,7,30,15,30
b'1 Abercrombie Lane',AU,Sydney,2,7,30,15,30
b'1 Abercrombie Lane',AU,Sydney,3,7,30,15,30
b'1 Abercrombie Lane',AU,Sydney,4,7,30,15,30
b'#1 Chicken Rice & Seafood',US,Houston,0,10,30,20,30
b'#1 Chicken Rice & Seafood',US,Houston,1,10,30,20,30
b'#1 Chicken Rice & Seafood',US,Houston,2,10,30,20,30
b'#1 Chicken Rice & Seafood',US,Houston,3,10,30,20,30
b'#1 Chicken Rice & Seafood',US,Houston,4,10,30,20,30
b'#1 Chicken Rice & Seafood',US,Houston,5,10,30,20,0
b'#1 Chinese Kitchen',US,San Jose,0,11,0,21,0
b'#1 Chinese Kitchen',US,San Jose,2,11,0,21,0
b'#1 Chinese Kitchen',US,San Jose,3,11,0,21,0
b'#1 Chinese Kitchen',US,San Jose,4,11,0,21,0
b'#1 Chinese Kitchen',US,San Jose,5,11,0,21,0
b'#1 Chinese Kitchen',US,San Jose,6,11,0,21,0
"b""10' Custom Pizzeria""",AU,Braddon,0,11,30,15,0
"b""10' Custom Pizzeria""",AU,Braddon,0,17,30,0,0
"b""10' Custom Pizzeria""",AU,Braddon,1,11,30,15,0
"b""10' Custom Pizzeria""",AU,Braddon,1,17,30,0,0
"b""10' Custom Pizzeria""",AU,Braddon,2,11,30,15,0
"b""10' Custom Pizzeria""",AU,Braddon,2,17,30,0,0
"b""10' Custom Pizzeria""",AU,Braddon,3,11,30,15,0
"b""10' Custom Pizzeria""",AU,Braddon,3,17,30,0,0
"b""10' Custom Pizzeria""",AU,Braddon,4,11,30,15,0
"b""10' Custom Pizzeria""",AU,Braddon,4,17,30,0,0
"b""10' Custom Pizzeria""",AU,Braddon,5,11,30,15,0
"b""10' Custom Pizzeria""",AU,Braddon,5,17,30,0,0
"b""10' Custom Pizzeria""",AU,Braddon,6,11,30,15,0
"b""10' Custom Pizzeria""",AU,Braddon,6,17,30,0,0
b'10 Greek Street',GB,London,0,12,0,23,30
b'10 Greek Street',GB,London,1,12,0,23,30
b'10 Greek Street',GB,London,2,12,0,23,30
b'10 Greek Street',GB,London,3,12,0,23,30
b'10 Greek Street',GB,London,4,12,0,23,30
b'10 Greek Street',GB,London,5,12,0,23,30
b'10 Greek Street',GB,London,6,17,30,23,0
b'100% de Agave',US,Denver,0,11,0,22,0
b'100% de Agave',US,Denver,1,11,0,22,0
b'100% de Agave',US,Denver,2,11,0,22,0
b'100% de Agave',US,Denver,3,11,0,22,0
b'100% de Agave',US,Denver,4,11,0,23,0
b'100% de Agave',US,Denver,5,11,0,23,0
b'100% de Agave',US,Denver,6,11,0,22,0
b'100 Hoxton',GB,London,1,11,0,0,0
b'100 Hoxton',GB,London,2,11,0,0,0
b'100 Hoxton',GB,London,3,11,0,0,0
b'100 Hoxton',GB,London,4,11,0,0,0
b'100 Hoxton',GB,London,5,11,0,0,0
b'100 Hoxton',GB,London,6,11,0,0,0
b'11 Inch Pizza',AU,Melbourne,0,11,0,21,30
b'11 Inch Pizza',AU,Melbourne,1,11,0,21,30
b'11 Inch Pizza',AU,Melbourne,2,11,0,21,30
b'11 Inch Pizza',AU,Melbourne,3,11,0,21,30
b'11 Inch Pizza',AU,Melbourne,4,11,0,21,30
b'11 Inch Pizza',AU,Melbourne,5,16,30,21,30
b'11 Inch Pizza',AU,Melbourne,6,16,30,21,30
b'111 by Nico',GB,Glasgow,1,12,0,14,30
b'111 by Nico',GB,Glasgow,1,17,0,22,0
b'111 by Nico',GB,Glasgow,2,12,0,14,30
b'111 by Nico',GB,Glasgow,2,17,0,22,0
b'111 by Nico',GB,Glasgow,3,12,0,14,30
b'111 by Nico',GB,Glasgow,3,17,0,22,0
b'111 by Nico',GB,Glasgow,4,12,0,14,30
b'111 by Nico',GB,Glasgow,4,17,0,22,0
b'111 by Nico',GB,Glasgow,5,12,0,22,0
b'111 by Nico',GB,Glasgow,6,12,0,21,0
b'127 Bar and Bistro',AU,Brisbane,0,6,30,21,0
b'127 Bar and Bistro',AU,Brisbane,1,6,30,21,0
b'127 Bar and Bistro',AU,Brisbane,2,6,30,21,0
b'127 Bar and Bistro',AU,Brisbane,3,6,30,21,0
b'127 Bar and Bistro',AU,Brisbane,4,6,30,21,0
b'127 Bar and Bistro',AU,Brisbane,5,7,0,11,0
b'127 Bar and Bistro',AU,Brisbane,5,15,0,21,0
b'127 Bar and Bistro',AU,Brisbane,6,7,0,11,0
b'13 North Grille',US,Phoenix,0,11,0,21,0
b'13 North Grille',US,Phoenix,1,11,0,21,0
b'13 North Grille',US,Phoenix,2,11,0,21,0
b'13 North Grille',US,Phoenix,3,11,0,21,0
b'13 North Grille',US,Phoenix,4,11,0,22,0
b'13 North Grille',US,Phoenix,5,8,30,22,0
b'13 North Grille',US,Phoenix,6,8,30,21,0
b'13th Note',GB,Glasgow,0,12,0,0,0
b'13th Note',GB,Glasgow,1,12,0,0,0
b'13th Note',GB,Glasgow,2,12,0,0,0
b'13th Note',GB,Glasgow,3,12,0,0,0
b'13th Note',GB,Glasgow,4,12,0,0,0
b'13th Note',GB,Glasgow,5,12,0,0,0
b'13th Note',GB,Glasgow,6,12,0,0,0
b'1428 HAIGHT Patio Cafe & Crepery',US,San Francisco,0,8,0,22,0
b'1428 HAIGHT Patio Cafe & Crepery',US,San Francisco,1,8,0,22,0
b'1428 HAIGHT Patio Cafe & Crepery',US,San Francisco,2,8,0,22,0
b'1428 HAIGHT Patio Cafe & Crepery',US,San Francisco,3,8,0,22,0
b'1428 HAIGHT Patio Cafe & Crepery',US,San Francisco,4,8,0,22,0
b'1428 HAIGHT Patio Cafe & Crepery',US,San Francisco,5,8,0,22,0
b'1428 HAIGHT Patio Cafe & Crepery',US,San Francisco,6,8,0,22,0
b'163 Vietnamese Sandwiches & Bubble Tea',US,Boston,0,7,30,19,30
b'163 Vietnamese Sandwiches & Bubble Tea',US,Boston,1,7,30,19,30
b'163 Vietnamese Sandwiches & Bubble Tea',US,Boston,2,7,30,19,30
b'163 Vietnamese Sandwiches & Bubble Tea',US,Boston,3,7,30,19,30
b'163 Vietnamese Sandwiches & Bubble Tea',US,Boston,4,7,30,19,30
b'163 Vietnamese Sandwiches & Bubble Tea',US,Boston,5,7,30,19,30
b'163 Vietnamese Sandwiches & Bubble Tea',US,Boston,6,7,30,19,30
b'1760',US,San Francisco,0,17,0,22,0
b'1760',US,San Francisco,1,17,0,22,0
b'1760',US,San Francisco,2,17,0,22,0
b'1760',US,San Francisco,3,17,0,22,0
b'1760',US,San Francisco,4,17,0,23,0
b'1760',US,San Francisco,5,11,0,14,30
b'1760',US,San Francisco,5,17,0,23,0
b'1760',US,San Francisco,6,11,0,14,30
b'1760',US,San Francisco,6,17,0,22,0
b'1806',AU,Melbourne,0,17,0,1,0
b'1806',AU,Melbourne,1,17,0,1,0
b'1806',AU,Melbourne,2,17,0,1,0
b'1806',AU,Melbourne,3,17,0,1,0
b'1806',AU,Melbourne,4,16,0,1,0
b'1806',AU,Melbourne,5,17,0,3,0
b'1806',AU,Melbourne,6,18,0,1,0
b'1907 Restaurant',AU,Perth,1,11,0,15,0
b'1907 Restaurant',AU,Perth,1,18,0,0,0
b'1907 Restaurant',AU,Perth,2,11,0,15,0
b'1907 Restaurant',AU,Perth,2,18,0,0,0
b'1907 Restaurant',AU,Perth,3,11,0,15,0
b'1907 Restaurant',AU,Perth,3,18,0,0,0
b'1907 Restaurant',AU,Perth,4,11,0,15,0
b'1907 Restaurant',AU,Perth,4,18,0,0,0
b'1907 Restaurant',AU,Perth,5,11,0,15,0
b'1907 Restaurant',AU,Perth,5,18,0,0,0
b'1912 Dining Bar',AU,Sydney,0,16,0,0,0
b'1912 Dining Bar',AU,Sydney,1,16,0,0,0
b'1912 Dining Bar',AU,Sydney,2,16,0,0,0
b'1912 Dining Bar',AU,Sydney,3,16,0,0,0
b'1912 Dining Bar',AU,Sydney,4,16,0,0,0
b'1912 Dining Bar',AU,Sydney,5,16,0,0,0
b'1917 American Bistro',US,Detroit,0,10,0,23,0
b'1917 American Bistro',US,Detroit,1,10,0,23,0
b'1917 American Bistro',US,Detroit,2,10,0,23,0
b'1917 American Bistro',US,Detroit,3,10,0,23,0
b'1917 American Bistro',US,Detroit,4,10,0,23,0
b'1917 American Bistro',US,Detroit,5,10,0,23,0
b'1917 American Bistro',US,Detroit,6,10,0,20,0
b'2 Amys Neapolitan Pizzeria',US,Washington,0,17,0,22,0
b'2 Amys Neapolitan Pizzeria',US,Washington,1,11,0,22,0
b'2 Amys Neapolitan Pizzeria',US,Washington,2,11,0,22,0
b'2 Amys Neapolitan Pizzeria',US,Washington,3,11,0,22,0
b'2 Amys Neapolitan Pizzeria',US,Washington,4,11,0,23,0
b'2 Amys Neapolitan Pizzeria',US,Washington,5,11,0,23,0
b'2 Amys Neapolitan Pizzeria',US,Washington,6,12,0,22,0
b'20 Spot',US,San Francisco,0,17,0,1,0
b'20 Spot',US,San Francisco,1,17,0,1,0
b'20 Spot',US,San Francisco,2,17,0,1,0
b'20 Spot',US,San Francisco,3,17,0,1,0
b'20 Spot',US,San Francisco,4,17,0,1,0
b'20 Spot',US,San Francisco,5,17,0,1,0
b'204 North Kitchen & Cocktails',US,Charlotte,0,11,0,0,0
b'204 North Kitchen & Cocktails',US,Charlotte,1,11,0,0,0
b'204 North Kitchen & Cocktails',US,Charlotte,2,11,0,2,0
b'204 North Kitchen & Cocktails',US,Charlotte,3,11,0,2,0
b'204 North Kitchen & Cocktails',US,Charlotte,4,11,0,2,0
b'204 North Kitchen & Cocktails',US,Charlotte,5,11,0,2,0
b'204 North Kitchen & Cocktails',US,Charlotte,6,11,0,0,0
b'20th Street Caf\xc3\xa9',US,Denver,1,6,30,14,30
b'20th Street Caf\xc3\xa9',US,Denver,2,6,30,14,30
b'20th Street Caf\xc3\xa9',US,Denver,3,6,30,14,30
b'20th Street Caf\xc3\xa9',US,Denver,4,6,30,14,30
b'20th Street Caf\xc3\xa9',US,Denver,5,7,0,13,30
b'20th Street Caf\xc3\xa9',US,Denver,6,7,0,13,30
b'21 Shanghai House',US,New York,0,11,0,21,30
b'21 Shanghai House',US,New York,1,11,0,21,30
b'21 Shanghai House',US,New York,2,11,0,21,30
b'21 Shanghai House',US,New York,3,11,0,21,30
b'21 Shanghai House',US,New York,4,11,0,22,0
b'21 Shanghai House',US,New York,5,11,0,22,0
b'21 Shanghai House',US,New York,6,11,0,21,30
b'24grille',US,Detroit,0,11,0,0,0
b'24grille',US,Detroit,1,11,0,0,0
b'24grille',US,Detroit,2,11,0,0,0
b'24grille',US,Detroit,3,11,0,0,0
b'24grille',US,Detroit,4,11,0,2,0
b'24grille',US,Detroit,5,11,0,2,0
b'24grille',US,Detroit,6,11,0,22,0
b'259 Cafe',AU,Perth,0,10,0,15,0
b'259 Cafe',AU,Perth,2,10,0,15,0
b'259 Cafe',AU,Perth,3,10,0,15,0
b'259 Cafe',AU,Perth,4,10,0,15,0
b'259 Cafe',AU,Perth,5,9,0,15,0
b'259 Cafe',AU,Perth,6,9,0,15,0
b'26 grains',GB,London,0,8,0,18,0
b'26 grains',GB,London,1,8,0,18,0
b'26 grains',GB,London,2,8,0,18,0
b'26 grains',GB,London,3,8,0,18,0
b'26 grains',GB,London,4,8,0,17,0
b'26 grains',GB,London,5,10,0,16,0
b'26 grains',GB,London,6,10,0,16,0
b'2nd City',US,New York,0,11,0,23,0
b'2nd City',US,New York,1,11,0,23,0
b'2nd City',US,New York,2,11,0,23,0
b'2nd City',US,New York,3,11,0,23,0
b'2nd City',US,New York,4,11,0,23,0
b'2nd City',US,New York,5,11,0,23,0
b'2nd City',US,New York,6,11,0,23,0
b'3 Arts Club Cafe',US,Chicago,0,10,0,20,0
b'3 Arts Club Cafe',US,Chicago,1,10,0,20,0
b'3 Arts Club Cafe',US,Chicago,2,10,0,20,0
b'3 Arts Club Cafe',US,Chicago,3,10,0,20,0
b'3 Arts Club Cafe',US,Chicago,4,10,0,20,0
b'3 Arts Club Cafe',US,Chicago,5,10,0,20,0
b'3 Arts Club Cafe',US,Chicago,6,11,0,18,0
"b""3 Bro's Kabab House""",US,Houston,0,11,0,22,0
"b""3 Bro's Kabab House""",US,Houston,1,11,0,22,0
"b""3 Bro's Kabab House""",US,Houston,2,11,0,22,0
"b""3 Bro's Kabab House""",US,Houston,3,11,0,22,0
"b""3 Bro's Kabab House""",US,Houston,4,14,0,22,0
"b""3 Bro's Kabab House""",US,Houston,5,11,0,22,0
"b""3 Bro's Kabab House""",US,Houston,6,11,0,22,0
b'3 Greeks Grill',US,Long Island City,0,11,0,22,0
b'3 Greeks Grill',US,Long Island City,1,11,0,22,0
b'3 Greeks Grill',US,Long Island City,2,11,0,22,0
b'3 Greeks Grill',US,Long Island City,3,11,0,22,0
b'3 Greeks Grill',US,Long Island City,4,11,0,22,0
b'3 Greeks Grill',US,Long Island City,5,11,0,22,0
b'3 Greeks Grill',US,Long Island City,6,11,0,21,0
b'3 Wise Monkeys Pub',AU,Sydney,0,10,0,4,0
b'3 Wise Monkeys Pub',AU,Sydney,1,10,0,4,0
b'3 Wise Monkeys Pub',AU,Sydney,2,10,0,4,0
b'3 Wise Monkeys Pub',AU,Sydney,3,10,0,4,0
b'3 Wise Monkeys Pub',AU,Sydney,4,10,0,5,0
b'3 Wise Monkeys Pub',AU,Sydney,5,10,0,5,0
b'3 Wise Monkeys Pub',AU,Sydney,6,10,0,4,0
b'32 Shea',US,Phoenix,0,6,0,22,0
b'32 Shea',US,Phoenix,1,6,0,22,0
b'32 Shea',US,Phoenix,2,6,0,22,0
b'32 Shea',US,Phoenix,3,6,0,22,0
b'32 Shea',US,Phoenix,4,6,0,22,0
b'32 Shea',US,Phoenix,5,7,0,22,0
b'32 Shea',US,Phoenix,6,7,0,14,0
b'360 Bar and Restaurant',AU,Sydney,0,12,0,14,30
b'360 Bar and Restaurant',AU,Sydney,0,16,30,23,0
b'360 Bar and Restaurant',AU,Sydney,1,12,0,14,30
b'360 Bar and Restaurant',AU,Sydney,1,16,30,23,0
b'360 Bar and Restaurant',AU,Sydney,2,12,0,14,30
b'360 Bar and Restaurant',AU,Sydney,2,16,30,23,0
b'360 Bar and Restaurant',AU,Sydney,3,12,0,14,30
b'360 Bar and Restaurant',AU,Sydney,3,16,30,23,0
b'360 Bar and Restaurant',AU,Sydney,4,12,0,14,30
b'360 Bar and Restaurant',AU,Sydney,4,16,30,0,0
b'360 Bar and Restaurant',AU,Sydney,5,16,30,0,0
b'360 Bar and Restaurant',AU,Sydney,6,16,30,0,0
b'38 Espresso',AU,Kingston,0,7,0,15,0
b'38 Espresso',AU,Kingston,1,7,0,15,0
b'38 Espresso',AU,Kingston,2,7,0,15,0
b'38 Espresso',AU,Kingston,3,7,0,15,0
b'38 Espresso',AU,Kingston,4,7,0,15,0
b'38 Espresso',AU,Kingston,5,7,0,15,0
b'38 Espresso',AU,Kingston,6,8,0,15,0
b'+39 Pizzeria',AU,Melbourne,0,12,0,15,0
b'+39 Pizzeria',AU,Melbourne,0,17,0,21,30
b'+39 Pizzeria',AU,Melbourne,1,12,0,15,0
b'+39 Pizzeria',AU,Melbourne,1,17,0,21,30
b'+39 Pizzeria',AU,Melbourne,2,12,0,15,0
b'+39 Pizzeria',AU,Melbourne,2,17,0,21,30
b'+39 Pizzeria',AU,Melbourne,3,12,0,15,0
b'+39 Pizzeria',AU,Melbourne,3,17,0,21,30
b'+39 Pizzeria',AU,Melbourne,4,12,0,22,0
b'+39 Pizzeria',AU,Melbourne,5,12,0,22,0
b'+39 Pizzeria',AU,Melbourne,6,12,0,21,30
b'3rd Cousin',US,San Francisco,1,17,30,22,0
b'3rd Cousin',US,San Francisco,2,17,30,22,0
b'3rd Cousin',US,San Francisco,3,17,30,22,0
b'3rd Cousin',US,San Francisco,4,17,30,22,0
b'3rd Cousin',US,San Francisco,5,17,30,22,0
b'45 Jermyn St',GB,London,0,7,0,23,30
b'45 Jermyn St',GB,London,1,7,0,23,30
b'45 Jermyn St',GB,London,2,7,0,23,30
b'45 Jermyn St',GB,London,3,7,0,23,30
b'45 Jermyn St',GB,London,4,7,0,23,30
b'45 Jermyn St',GB,London,5,8,0,23,30
b'45 Jermyn St',GB,London,6,8,0,18,0
b'4Fourteen',AU,Surry Hills,1,12,0,15,0
b'4Fourteen',AU,Surry Hills,1,18,0,0,0
b'4Fourteen',AU,Surry Hills,2,12,0,15,0
b'4Fourteen',AU,Surry Hills,2,18,0,0,0
b'4Fourteen',AU,Surry Hills,3,12,0,15,0
b'4Fourteen',AU,Surry Hills,3,18,0,0,0
b'4Fourteen',AU,Surry Hills,4,12,0,15,0
b'4Fourteen',AU,Surry Hills,4,18,0,0,0
b'4Fourteen',AU,Surry Hills,5,12,0,15,0
b'4Fourteen',AU,Surry Hills,5,18,0,0,0
b'4Fourteen',AU,Surry Hills,6,12,0,18,0
b'5 & Dime Bagels',AU,Melbourne,0,7,0,14,30
b'5 & Dime Bagels',AU,Melbourne,1,7,0,14,30
b'5 & Dime Bagels',AU,Melbourne,2,7,0,14,30
b'5 & Dime Bagels',AU,Melbourne,3,7,0,14,30
b'5 & Dime Bagels',AU,Melbourne,4,7,0,14,30
b'5 Boroughs',AU,Brisbane,0,11,0,21,0
b'5 Boroughs',AU,Brisbane,1,11,0,21,0
b'5 Boroughs',AU,Brisbane,2,11,0,21,0
b'5 Boroughs',AU,Brisbane,3,11,0,21,0
b'5 Boroughs',AU,Brisbane,4,11,0,22,0
b'5 Boroughs',AU,Brisbane,5,11,0,22,0
b'5 Boroughs',AU,Brisbane,6,11,0,21,0
b'5 Rabanitos Restaurante and Taqueria',US,Chicago,1,11,0,21,0
b'5 Rabanitos Restaurante and Taqueria',US,Chicago,2,11,0,21,0
b'5 Rabanitos Restaurante and Taqueria',US,Chicago,3,11,0,21,0
b'5 Rabanitos Restaurante and Taqueria',US,Chicago,4,11,0,22,0
b'5 Rabanitos Restaurante and Taqueria',US,Chicago,5,9,0,22,0
b'5 Rabanitos Restaurante and Taqueria',US,Chicago,6,9,0,21,0
b'5 Spices House',US,Boston,0,11,0,23,0
b'5 Spices House',US,Boston,1,11,0,23,0
b'5 Spices House',US,Boston,2,11,0,23,0
b'5 Spices House',US,Boston,3,11,0,23,0
b'5 Spices House',US,Boston,4,11,0,0,0
b'5 Spices House',US,Boston,5,11,0,0,0
b'5 Spices House',US,Boston,6,11,0,0,0
b'5 Spot',US,Seattle,0,8,0,23,0
b'5 Spot',US,Seattle,1,8,0,23,0
b'5 Spot',US,Seattle,2,8,0,23,0
b'5 Spot',US,Seattle,3,8,0,23,0
b'5 Spot',US,Seattle,4,8,0,23,0
b'5 Spot',US,Seattle,5,8,0,15,0
b'5 Spot',US,Seattle,5,17,0,0,0
b'5 Spot',US,Seattle,6,8,0,15,0
b'5 Spot',US,Seattle,6,17,0,0,0
b'500 Degrees New York Style Pizzeria',US,Charlotte,0,11,0,21,0
b'500 Degrees New York Style Pizzeria',US,Charlotte,1,11,0,21,0
b'500 Degrees New York Style Pizzeria',US,Charlotte,2,11,0,21,0
b'500 Degrees New York Style Pizzeria',US,Charlotte,3,11,0,21,0
b'500 Degrees New York Style Pizzeria',US,Charlotte,4,11,0,23,0
b'500 Degrees New York Style Pizzeria',US,Charlotte,5,11,0,22,0
"b""50's Diner Omelet House""",US,Las Vegas,0,7,0,21,0
"b""50's Diner Omelet House""",US,Las Vegas,1,7,0,21,0
"b""50's Diner Omelet House""",US,Las Vegas,2,7,0,21,0
"b""50's Diner Omelet House""",US,Las Vegas,3,7,0,21,0
"b""50's Diner Omelet House""",US,Las Vegas,4,7,0,21,0
"b""50's Diner Omelet House""",US,Las Vegas,5,7,0,21,0
"b""50's Diner Omelet House""",US,Las Vegas,6,7,0,15,0
b'5280 Burger Bar',US,Denver,0,11,0,22,0
b'5280 Burger Bar',US,Denver,1,11,0,22,0
b'5280 Burger Bar',US,Denver,2,11,0,22,0
b'5280 Burger Bar',US,Denver,3,11,0,22,0
b'5280 Burger Bar',US,Denver,4,11,0,23,0
b'5280 Burger Bar',US,Denver,5,11,0,23,0
b'5280 Burger Bar',US,Denver,6,11,0,22,0
b'5280 Sliders',US,Denver,0,15,0,22,0
b'5280 Sliders',US,Denver,1,15,0,22,0
b'5280 Sliders',US,Denver,2,15,0,22,0
b'5280 Sliders',US,Denver,3,15,0,22,0
b'5280 Sliders',US,Denver,4,15,0,0,0
b'5280 Sliders',US,Denver,5,14,0,0,0
b'5280 Sliders',US,Denver,6,14,0,22,0
b'580 Bench',AU,Melbourne,0,7,0,16,0
b'580 Bench',AU,Melbourne,1,7,0,16,0
b'580 Bench',AU,Melbourne,2,7,0,16,0
b'580 Bench',AU,Melbourne,3,7,0,16,0
b'580 Bench',AU,Melbourne,4,7,0,16,0
b'5Church',US,Charlotte,0,11,0,22,0
b'5Church',US,Charlotte,1,11,0,22,0
b'5Church',US,Charlotte,2,11,0,22,0
b'5Church',US,Charlotte,3,11,0,23,0
b'5Church',US,Charlotte,4,11,0,2,0
b'5Church',US,Charlotte,5,11,0,2,0
b'5Church',US,Charlotte,6,10,0,22,0
b'62 Rokujuni',AU,Sydney,0,11,0,15,0
b'62 Rokujuni',AU,Sydney,0,18,0,21,0
b'62 Rokujuni',AU,Sydney,1,11,0,15,0
b'62 Rokujuni',AU,Sydney,1,18,0,21,0
b'62 Rokujuni',AU,Sydney,2,11,0,15,0
b'62 Rokujuni',AU,Sydney,2,18,0,21,0
b'62 Rokujuni',AU,Sydney,3,11,0,15,0
b'62 Rokujuni',AU,Sydney,3,18,0,21,0
b'62 Rokujuni',AU,Sydney,4,11,0,15,0
b'62 Rokujuni',AU,Sydney,4,18,0,21,0
b'678 Korean Bbq',AU,Sydney,0,11,0,0,0
b'678 Korean Bbq',AU,Sydney,1,11,0,0,0
b'678 Korean Bbq',AU,Sydney,2,11,0,0,0
b'678 Korean Bbq',AU,Sydney,3,11,0,0,0
b'678 Korean Bbq',AU,Sydney,4,11,0,0,0
b'678 Korean Bbq',AU,Sydney,5,11,0,0,0
b'678 Korean Bbq',AU,Sydney,6,11,0,0,0
b'6th Avenue Eats',US,Seattle,0,11,0,14,0
b'6th Avenue Eats',US,Seattle,1,11,0,14,0
b'6th Avenue Eats',US,Seattle,2,11,0,14,0
b'6th Avenue Eats',US,Seattle,3,11,0,14,0
b'6th Avenue Eats',US,Seattle,4,11,0,14,0
b'7 Leguas Mexican Grille',US,Denver,0,10,0,22,0
b'7 Leguas Mexican Grille',US,Denver,1,10,0,22,0
b'7 Leguas Mexican Grille',US,Denver,2,10,0,22,0
b'7 Leguas Mexican Grille',US,Denver,3,10,0,22,0
b'7 Leguas Mexican Grille',US,Denver,4,10,0,0,0
b'7 Leguas Mexican Grille',US,Denver,5,10,0,0,0
b'7 Leguas Mexican Grille',US,Denver,6,9,0,22,0
b'7 Leguas Mexican Grille',US,Denver,0,10,0,22,0
b'7 Leguas Mexican Grille',US,Denver,1,10,0,22,0
b'7 Leguas Mexican Grille',US,Denver,2,10,0,22,0
b'7 Leguas Mexican Grille',US,Denver,3,10,0,22,0
b'7 Leguas Mexican Grille',US,Denver,4,10,0,2,0
b'7 Leguas Mexican Grille',US,Denver,5,9,0,2,0
b'7 Leguas Mexican Grille',US,Denver,6,9,0,22,0
b'75 on Liberty Wharf',US,Boston,0,11,30,0,0
b'75 on Liberty Wharf',US,Boston,1,11,30,0,0
b'75 on Liberty Wharf',US,Boston,2,11,30,0,0
b'75 on Liberty Wharf',US,Boston,3,11,30,0,0
b'75 on Liberty Wharf',US,Boston,4,11,30,2,0
b'75 on Liberty Wharf',US,Boston,5,10,30,2,0
b'75 on Liberty Wharf',US,Boston,6,10,0,0,0
b'7th & Bake Patisserie Cafe',AU,Canberra,0,6,30,16,0
b'7th & Bake Patisserie Cafe',AU,Canberra,1,6,30,16,0
b'7th & Bake Patisserie Cafe',AU,Canberra,2,6,30,16,0
b'7th & Bake Patisserie Cafe',AU,Canberra,3,6,30,16,0
b'7th & Bake Patisserie Cafe',AU,Canberra,4,6,30,16,0
b'7th & Bake Patisserie Cafe',AU,Canberra,5,7,30,17,0
b'7th & Bake Patisserie Cafe',AU,Canberra,6,7,30,17,0
b'7th District',US,Charlotte,0,16,0,23,0
b'7th District',US,Charlotte,1,16,0,23,0
b'7th District',US,Charlotte,2,16,0,23,0
b'7th District',US,Charlotte,3,16,0,23,0
b'7th District',US,Charlotte,4,16,0,2,0
b'7th District',US,Charlotte,5,14,0,2,0
b'7th District',US,Charlotte,6,11,0,16,0
b'8 Hoxton Square',GB,London,0,12,0,23,0
b'8 Hoxton Square',GB,London,1,12,0,23,0
b'8 Hoxton Square',GB,London,2,12,0,23,0
b'8 Hoxton Square',GB,London,3,12,0,23,0
b'8 Hoxton Square',GB,London,4,12,0,23,0
b'8 Hoxton Square',GB,London,5,10,0,23,0
b'8 Hoxton Square',GB,London,6,10,0,17,0
b'800 Degrees',US,Las Vegas,0,11,0,2,0
b'800 Degrees',US,Las Vegas,1,11,0,2,0
b'800 Degrees',US,Las Vegas,2,11,0,2,0
b'800 Degrees',US,Las Vegas,3,11,0,2,0
b'800 Degrees',US,Las Vegas,4,11,0,2,0
b'800 Degrees',US,Las Vegas,5,11,0,2,0
b'800 Degrees',US,Las Vegas,6,11,0,2,0
b'888 Chinese Restaurant',US,Houston,0,10,0,23,0
b'888 Chinese Restaurant',US,Houston,1,10,0,23,0
b'888 Chinese Restaurant',US,Houston,2,10,0,23,0
b'888 Chinese Restaurant',US,Houston,3,10,0,23,0
b'888 Chinese Restaurant',US,Houston,4,10,0,23,0
b'888 Chinese Restaurant',US,Houston,5,11,0,0,0
b'888 Chinese Restaurant',US,Houston,6,11,0,0,0
b'8Bit',AU,Melbourne,0,11,0,23,0
b'8Bit',AU,Melbourne,1,11,0,23,0
b'8Bit',AU,Melbourne,2,11,0,23,0
b'8Bit',AU,Melbourne,3,11,0,23,0
b'8Bit',AU,Melbourne,4,11,0,23,0
b'8Bit',AU,Melbourne,5,11,0,23,0
b'8Bit',AU,Melbourne,6,11,0,23,0
b'8Elements Perfect Indian Cuisine',US,San Jose,0,11,30,22,0
b'8Elements Perfect Indian Cuisine',US,San Jose,1,11,30,22,0
b'8Elements Perfect Indian Cuisine',US,San Jose,2,11,30,22,0
b'8Elements Perfect Indian Cuisine',US,San Jose,3,11,30,22,0
b'8Elements Perfect Indian Cuisine',US,San Jose,4,11,30,22,30
b'8Elements Perfect Indian Cuisine',US,San Jose,5,11,30,22,30
b'8Elements Perfect Indian Cuisine',US,San Jose,6,11,30,22,0
b'8oz Burger & Co',US,Seattle,0,11,30,23,0
b'8oz Burger & Co',US,Seattle,1,11,30,23,0
b'8oz Burger & Co',US,Seattle,2,11,30,23,0
b'8oz Burger & Co',US,Seattle,3,11,30,23,0
b'8oz Burger & Co',US,Seattle,4,11,30,0,0
b'8oz Burger & Co',US,Seattle,5,11,30,0,0
b'8oz Burger & Co',US,Seattle,6,11,30,22,0
b'90 Miles Cuban Caf\xc3\xa9',US,Chicago,0,8,0,21,0
b'90 Miles Cuban Caf\xc3\xa9',US,Chicago,1,8,0,21,0
b'90 Miles Cuban Caf\xc3\xa9',US,Chicago,2,8,0,21,0
b'90 Miles Cuban Caf\xc3\xa9',US,Chicago,3,8,0,21,0
b'90 Miles Cuban Caf\xc3\xa9',US,Chicago,4,8,0,21,0
b'90 Miles Cuban Caf\xc3\xa9',US,Chicago,5,8,0,21,0
b'90 Miles Cuban Caf\xc3\xa9',US,Chicago,6,8,0,21,0
